OrderColecta,NSiembra,Origen,Raza,Estado,Num_Colecta,Nombre_comun,Raza_Primaria,Raza_Secundaria,A̱o._de_colecta,Localidad,Municipio,Estado.1,Longitud,Latitud,Altitud,Ruizetal2008_grupo,Sanchezetal_grupo,Categ.Altitud,Rbiogeo,DivFloristic,PeralesBiog
2,3,INIFAP-2009-16,Apachito,Chihuahua,16,Ocho carreras,Apachito,NA,2009,Santo Tomás,Guerrero,Chihuahua,-107.583,28.68577778,1975,1A_templado540-640mm,Sierra de Chihuahua,mid,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
1,68,2009-72,Chalque̱o,Tlaxcala,22,Chalque̱o Criollo,Chalque̱o,NA,2008,Ignacio Zaragoza,Cuapiaxtla,Tlaxcala,-97.92944444,19.29083333,2497,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,91,2007-33,Dulcillo del Noroeste,Sonora,SON2007-033,Maíz Dulce,Dulcillo del Noroeste,NA,2007,Agua Blanca,Y̩cora,Sonora,-108.9246667,28.53702778,1435,2A_semicalido500-870mm,Chapalote,mid,Sierra Madre Occidental,Sierra Madre Occidental,Sierras del
2,39,Chis-2009-18,Dzit-Bacal,Chiapas,Repetida 18,Olotillo crema,Dzit-Bacal,NA,2009,Nuevo Vicente Guerrero,Villacorzo,Chiapas,-92.97972222,16.03225,618,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Serranias Transismicas,Chiapas
2,12,Celaya-2009-114,Celaya,Guanajuato,2009-REPO-114,Maíz Criollo,Celaya,NA,2009,El Ahuacate,Uriangato,Guanajuato,-101.1188889,20.09111111,1877,2A_semicalido500-870mm y 1B_templado>650mm,Dentados tropicales,mid,Eje Volcanico,Altiplanicie,Bajío
2,41,Celaya-2009-2,Elotes Occidentales,Guanajuato,2009-REPO-002,Maíz Criollo,Elotes Occidentales,NA,2009,Comonfort,Comonfort,Guanajuato,-100.7658333,20.74416667,1800,2C_semicalido740-855mm y 1B_templado>650mm,Ocho Hileras,mid,Eje Volcanico,Altiplanicie,Bajío
1,35,2009-6-a,Chalque̱o,Estado de M̩xico,2009-006,Criollo de la Región,Chalque̱o,NA,2009,La Cofradía,Amatepec,Estado de M̩xico,-100.2275,18.66027778,1390,,Cónico,mid,Depresion del Balsas,Depresion del Balsas,Cordillera
1,58,2009-169,Palomero Toluque̱o,Estado de M̩xico,2009-169,Blanco,Palomero Toluque̱o,NA,2009,San Marcos Tlazapan,San Bartolo Morelos,Estado de M̩xico,-99.71715556,19.79833333,2688,1B_templado>650mm,Cónico,high,Eje Volcanico,Altiplanicie,Mesa Centra
2,51,Ig-2010-114,Nal-tel de Altura,Oaxaca,OAX-165,Coste̱o,Nal-tel de Altura,NA,1954,El Ciruelo,Santiago Pinotepa Nacional,Oaxaca,-98.21666667,16.3,50,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Costa Pacifica,Complejo de
1,82,2009-121,Comiteco,Chiapas,121,Amarillo,Comiteco,NA,2009,San Marcos,Independencia,Chiapas,-91.97702778,16.19611111,1553,1C_templado>1000mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,67,2009-92,Chalque̱o,Tlaxcala,92,Blanco Campeón,Chalque̱o,NA,2009,"Lázaro Cárdenas, a 500 km al noroeste",Huamantla,Tlaxcala,-97.98805556,19.35916667,2530,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,93,2009-59,Pepitilla,Estado de M̩xico,2009-059,Ancho,Pepitilla,NA,2009,San Pedro Temeyac,Temascaltepec,Estado de M̩xico,-100.1686111,19.0525,1830,2C_semicalido740-855mm,Dentados tropicales,mid,Eje Volcanico,Depresion del Balsas,Cordillera
2,21,Guerrero-2008-12,Conejo,Guerrero,12,Crema,Conejo,NA,2008,Olinalá,Olinalá,Guerrero,-98.74311111,17.78013889,1312,,Tropicales precoces,mid,Depresion del Balsas,Depresion del Balsas,Cordillera
2,6,INIFAP-2009-415,Azul,Chihuahua,415,Apachito y azul,Azul,NA,2009,Las Varas,Temosachic,Chihuahua,-108.0152222,28.45538889,2215,1A_templado540-640mm,Sierra de Chihuahua,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
1,101,2009-142,Cónico,Tlaxcala,142,Blanco,Cónico,NA,2009,Cerca de Capula,Tetla,Tlaxcala,-98.04833333,19.51888889,2557,1B_templado>650mm,Cónico,high,Eje Volcanico,Altiplanicie,Mesa Centra
1,27,2009-232,Ancho,Estado de M̩xico,2009-232,Ancho,Ancho,NA,2009,Carretera San Juan Tepeoculco,Atlautla,Estado de M̩xico,-98.77861111,18.9975,2226,4_Jala,Ocho Hileras,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,43,2009-46,Cónico,Estado de M̩xico,2009-046,Amarillo Zanahoria,Cónico,NA,2009,Colonia Libertad,Santacruz Atizapán,Estado de M̩xico,-99.50972222,19.18472222,2585,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,1,INIFAP-2009-2,Apachito,Chihuahua,2,Perlilla,Apachito,NA,2009,Tres Ojitos,Madera,Chihuahua,-108.0796111,29.11311111,2106,1A_templado540-640mm,Sierra de Chihuahua,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
2,33,INIFAP-2009-14,Cristalino de Chihuahua,Chihuahua,14,Maiz blanco,Cristalino de Chihuahua,NA,2009,La Cantera,Cusihuiriachi,Chihuahua,-106.8788889,28.19322222,2094,1A_templado540-640mm,Sierra de Chihuahua,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
1,100,2007-OPV087,Blando de Sonora,Sinaloa,SIN-2007-087,Maíz Blando,Blando de Sonora,NA,2007,Chinobampo,El Fuerte ,Sinaloa,-108.3833333,26.39472222,299,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,24,INIFAP-2009-3,Cónico Norte̱o,Chihuahua,3,Pepitillo blanco,Cónico Norte̱o,NA,2009,Bustillos,Cuauhtemoc,Chihuahua,-106.63225,28.49672222,2010,1B_templado>650mm,Cónico,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
1,103,2009-63,Elotes Occidentales,Estado de M̩xico,2009-063,Maíz Negro o Gringas,Elotes Occidentales,NA,2009,El Pe̱ón,Temascaltepec,Estado de M̩xico,-100.1083333,19.04388889,1779,2C_semicalido740-855mm y 1B_templado>650mm,Ocho Hileras,mid,Eje Volcanico,Depresion del Balsas,Cordillera
1,72,2009-89,Cónico,Hidalgo,89,Maíz negro,Cónico ,NA,2009,Ejido Cerro Alto,Agua Blanca,Hidalgo,-98.37861111,20.33166667,2059,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
2,10,INIFAP-2009-38,Bofo,Chihuahua,38,Pozolero y azul,Bofo,NA,2009,Cuiteco,Urique,Chihuahua,-108.0082222,27.43477778,1734,2A_semicalido500-870mm,Ocho Hileras,mid,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
2,28,Pue-2010-255,Coscomatepec,Puebla,255,Criollo blanco,Coscomatepec,NA,2010,Equimita,Cuetzalan,Puebla,-97.56488889,19.96466667,1604,,Maduración tardía,mid,Sierra Madre Oriental,Sierra Madre Oriental,Complejo de
2,49,Celaya-2009-49,Mushito,Guanajuato,2009-JAAG-049,Maíz garambulla blanca,Mushito,NA,2009,Cerro Prieto,Atarjea,Guanajuato,-99.805,21.2775,1850,1C_templado>1000mm,Cónico,mid,Sierra Madre Oriental,Altiplanicie,Planicies d
1,56,2009-85,Elotes Cónicos,Estado de M̩xico,2009-085,Negro,Elotes Cónicos,NA,2009,Emiliano Zapata,Ixtlahuaca,Estado de M̩xico,-99.79111111,19.56944444,2538,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,66,2009-58,Elotes Cónicos,Tlaxcala,58,Azul,Elotes Cónicos,NA,2009,A 5 km dirección Este,Huamantla,Tlaxcala,-97.9725,19.32166667,2621,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
